                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.0807,                0.50622,                 1.0336,                0.98026,                 0.9838,                 0.9885,                0.69545,                 1.0795,                 0.4739,                 1.0462,               0.003169,               0.003169,               0.003169
                     71,                 1.0617,                0.49537,                 1.0318,                0.97642,                0.98648,                0.98931,                0.69395,                 1.0828,                0.48027,                 1.0452,                0.00307,                0.00307,                0.00307
                     72,                 1.0596,                0.49406,                 1.0321,                 0.9881,                0.98109,                0.98763,                0.68819,                 1.0657,                0.46639,                 1.0396,               0.002971,               0.002971,               0.002971
                     73,                 1.0612,                0.49657,                 1.0243,                0.97298,                0.98647,                0.98985,                0.69484,                 1.0763,                0.47928,                  1.048,               0.002872,               0.002872,               0.002872
                     74,                 1.0635,                0.49438,                 1.0396,                 0.9751,                0.97524,                0.98788,                0.69868,                 1.0734,                0.47142,                  1.039,               0.002773,               0.002773,               0.002773
                     75,                 1.0583,                0.49064,                 1.0233,                0.96733,                0.96227,                0.97741,                0.65675,                 1.1993,                0.51277,                 1.1358,               0.002674,               0.002674,               0.002674
                     76,                 1.0598,                0.49264,                 1.0354,                0.97146,                0.97207,                0.98571,                0.70216,                 1.0755,                0.46868,                 1.0437,               0.002575,               0.002575,               0.002575
                     77,                 1.0508,                0.48704,                 1.0236,                0.96439,                0.96451,                0.98124,                0.67825,                 1.1021,                0.50063,                  1.083,               0.002476,               0.002476,               0.002476
                     78,                 1.0467,                0.49277,                 1.0194,                0.94797,                0.95232,                0.98083,                0.67684,                 1.1187,                0.50625,                 1.0805,               0.002377,               0.002377,               0.002377
                     79,                 1.0455,                 0.4896,                 1.0191,                0.96778,                0.96832,                 0.9861,                0.68886,                 1.1151,                0.47405,                 1.0584,               0.002278,               0.002278,               0.002278
                     80,                 1.0485,                0.48602,                 1.0288,                0.98722,                0.98217,                   0.99,                0.70487,                  1.069,                0.45913,                 1.0322,               0.002179,               0.002179,               0.002179
                     81,                 1.0512,                0.48446,                 1.0221,                0.97041,                 0.9688,                0.98673,                0.68976,                 1.1137,                0.48112,                 1.0605,                0.00208,                0.00208,                0.00208
                     82,                 1.0333,                0.47902,                  1.016,                0.97595,                0.97944,                0.98899,                0.70004,                 1.0847,                0.46656,                 1.0364,               0.001981,               0.001981,               0.001981
                     83,                 1.0436,                0.48943,                  1.023,                0.97748,                0.97741,                0.98805,                0.69967,                 1.0812,                0.46055,                 1.0451,               0.001882,               0.001882,               0.001882
                     84,                 1.0395,                0.47999,                 1.0168,                0.97986,                0.98711,                0.99099,                0.70451,                 1.0717,                0.46038,                 1.0375,               0.001783,               0.001783,               0.001783
                     85,                 1.0359,                0.47097,                 1.0213,                  0.985,                0.98495,                0.99068,                0.70779,                 1.0761,                 0.4538,                 1.0408,               0.001684,               0.001684,               0.001684
                     86,                  1.023,                0.47006,                 1.0154,                0.98616,                0.98256,                0.99067,                0.70481,                 1.0775,                0.46443,                 1.0445,               0.001585,               0.001585,               0.001585
                     87,                 1.0315,                0.47225,                 1.0161,                0.97812,                0.97379,                0.98787,                0.70872,                 1.0667,                0.45355,                 1.0371,               0.001486,               0.001486,               0.001486
                     88,                 1.0262,                 0.4692,                 1.0131,                0.96972,                0.98748,                0.98942,                0.70362,                 1.0681,                0.46093,                 1.0416,               0.001387,               0.001387,               0.001387
                     89,                 1.0276,                0.46682,                 1.0097,                0.97373,                0.97187,                0.98549,                 0.6977,                 1.0815,                0.46659,                 1.0399,               0.001288,               0.001288,               0.001288
                     90,                  1.023,                0.46309,                 1.0141,                0.97861,                0.97683,                0.98907,                0.70937,                 1.0665,                0.45326,                 1.0395,               0.001189,               0.001189,               0.001189
                     91,                 1.0358,                0.47702,                 1.0386,                0.97497,                0.97262,                0.98674,                0.69918,                 1.0902,                0.45434,                 1.0506,                0.00109,                0.00109,                0.00109
                     92,                 1.0097,                0.45581,                 1.0273,                0.98098,                0.98272,                0.99093,                0.71256,                 1.0631,                 0.4477,                 1.0396,               0.000991,               0.000991,               0.000991
                     93,                 1.0138,                0.45683,                 1.0205,                 0.9714,                0.98796,                0.99092,                0.69849,                 1.0753,                 0.4596,                 1.0376,               0.000892,               0.000892,               0.000892
                     94,                  1.008,                0.45183,                 1.0191,                0.97979,                0.98483,                0.98871,                0.70453,                 1.0705,                0.45562,                 1.0379,               0.000793,               0.000793,               0.000793
                     95,                 1.0018,                0.44769,                 1.0155,                 0.9743,                0.97571,                0.98811,                0.71593,                 1.0574,                0.44254,                 1.0325,               0.000694,               0.000694,               0.000694
                     96,                0.99718,                0.44713,                 1.0144,                0.97833,                0.98204,                 0.9905,                 0.7183,                 1.0511,                0.43826,                 1.0291,               0.000595,               0.000595,               0.000595
                     97,                0.99986,                0.43932,                 1.0234,                 0.9783,                0.97782,                0.98946,                0.71462,                 1.0569,                0.44086,                 1.0316,               0.000496,               0.000496,               0.000496
                     98,                0.98546,                  0.437,                0.99636,                0.97839,                0.97566,                0.98858,                0.71687,                 1.0527,                0.44275,                 1.0268,               0.000397,               0.000397,               0.000397
                     99,                0.98938,                0.43747,                 1.0117,                 0.9758,                0.97473,                 0.9884,                0.71694,                 1.0526,                0.43726,                 1.0257,               0.000298,               0.000298,               0.000298
                    100,                0.97931,                0.43078,                 1.0049,                0.97794,                0.97524,                0.98865,                0.71832,                  1.052,                0.43467,                 1.0259,               0.000199,               0.000199,               0.000199
